document_id,text,category,date
GDL-1914-01-16-Ar00300,"ATHLÉTISME Le démission de M. de Couberlin. Le baron Pierre de Couberlin à qui l'on doit la création des modernes Jeux olympiques internationaux songerait, parait-il, à démissionner de la présidence du Comité olvmpique international, son état de sauté ne lui permettant plus de s'ocouper de sou œuvre comme il le désirerait. M. de Couberlin proposerait, pour le remplacer, nue haute personnalité autrichienne. Celte décision est très retraitée, car toutes les grandes nations sportives, l'Amérique en tôte, ne manquent pas une occasion de manifester au baron de Couberlin leur reconnaissance pour la rénovation olympique, qui a, daDS le monde entier, donné un essor formidable à la cause sportive. La France aux Jeux olympiques. L'Eclio des sports se dit en mesure d'affirmer que lo projet de subvention de 500, 000 fr. destiné à préparer les athlètes français aux Jeux olympiques de Berlin en 1916 n'a pas été ratifié par le ministre des finances. Il est donc à craindre que le comité national français n'éprouve de grosses difficultés pour envoyer ses athlètes à Berlin. BOXE Carpentier défie Sam Long fora-Mardi, François Descamps, le manager do Georges Carpentier, a écrit à la Fédération française de boxe. Le but de cette lettre était de lancer officiellement un défi à Sam LaDgford pour Je litro de champion du monde poids mi-lourds. JacJ; Johnson contre Morgan, La signature du contrat pour le match du véritable championnat du monde toutes catégories a en lieu mercredi soir. Le chèque de 175, 000 fr. réprésentant la part de Johnson a",Les sports,1914-01-16
JDG-1914-01-16-Ar00214,"BUREAU CENTRAL MÉTÉOROL 081 QUE Zurich, 15 janvier. L'aire de fortes pressions du nord-ouest se retire encore plus vers l'ouest sous l'inluence d'une nouvelle et importante perturaation qui apparaît dans l'extrême nord et se propage brusquement vers le sud; une vaste dépression persiste sur la Méditerranée, dont le centre, légèrement aplani, se trouve aujourd'hui sur l'Adriatique; il neige des deux côtés de la ligne de faîte des Alpes, sans adoucissement notable de la température; celle-ci est très basse ( jusqu'à — 20 ° ) dans l'ouest de l'Europe centrale; e froid est un peu moins vif dans nos hau: cs stations. Temps probable: froid et neigeux. Pressions: 754 Lésina; 755 cap Sicié, Rome, Scutari, Trieste, Gênes; 755 Haparanda, Petros; 760 Bodo, Riga; 760 Palerme; 760 Saragosse, Lyon, Zurich, Munich, Belgrade; 765 Lorient, cap Gris-Nez, Reçensburg, Hermannstadt; 765 Bronnô, ""arlstadt, Pinsk; 770 Faeroer, Skudesnaes, Londres, Valentia; 775 Stornoway.",Le temps qu'il fait,1914-01-16
GDL-1914-01-17-Ar00301,"Instruction militaire préparatoire. Le comité cantonal vaudois organise eomm » suit les exercices pour 1914: Deux cours de cadres auront lieu à Lausanne, l'un pour les moniteurs-chefs de gymnastique des sections, le dimanche 25 janvier, dès 9 heures du matin au collège de Beaulieu, l'autre réservé à l'instruction avec armes, à la Caserne, le dimanche 1 er mars, dès 9 heures du matin. Les officiers et sous-officiers qui s'intéressent à ces cours trouveront tous renseignements auprès du secrétaire du comité, lieutenant Henri Vallotton, Bel-Air, 4, à Lausanne. Les anciennes sections qui pourraient fonctionner cette année ainsi que les nouvelles sections en voie de formation sont invitées à envoyer à cea cours de cadres le nombre d'élèves prévu par « l'ordonnance sur l'instruction militaire préparatoire », soit: au premier cours, un moniteur-chef de gymnastique par section de 8 à 20 élèves; et au second, un officier ou un sous-officier par groupe d'au moins 8 à 12 élèves. Les cours d'instruction militaire préparatoire, qui ont intéressé un très grand nombre de jeunes gens de 16 à 20 ans ( en 1913, ils ont réuni 1069 élèves ) leur ren dent un réel service; ils sont une excellente préparation à l'école de recrues; ils contribuent en outre à développer dans notre jeunesse vaudoise le goût de la gymnastique, des exercices physiques en plein air, du tir au fusil, et ils fortifient le sentiment du devoir et l'amour de la patrie. Tribunal militaire. Le tribunal militaire de la Ire division, siégeant à Lausanne, sous",Chronique militaire,1914-01-17
GDL-1914-01-19-Ar00405,"TRIBUNAL FÉDÉRAL Du droit de source. Par contraet du 14 mars 1012 intitulé « contrat de vente », le défendeur Weinmann, à Hcrrlibcrg ( canton de Zurich ), a concédé au demandeur Fellenberg le droit de pratiquer des fouilles sur ses fonds en vue du captage d'une source, de recueillir les eaux découvertes et de les dériver pour les utiliser ou en tirer profit à sa convenance; l'article -1 de ce contrat prévoit que la concession du droit de source sera inscrite au Registre, foncier sitôt les travaux de captage terminés. Des difficultés ayant surgi dans la suite entre parties, Fellenberg a ouvert action à Weinmann en concluant entre autres — cette conclusion seule est venue en recours devant Je Tribunal fédéral — à ce qu'il soit prononcé que le défendeur est tenu de faire inscrire immédiatement au Registre foncier comme droit distinct ( selbstândigcs llccht ), en premier rang ( vorstandsfrei ), le droit de source vendu par lui au demandeur, cela conformément au contrat du 14 mars 1912. Les deux instances cantonales ayant donné raison au demandeur sur ce point, le défendeur a porté la question en dernier ressort devant le Tribunal fédéral ( deuxième section civile ), qui l'a examinée dans sa séance du jeudi 4 décembre 1913. Le contrat à la base du Jitige ayant été conclu postérieurement au 1 er janvier 1912, c'était en effet bien le droit nouveau qui était applicable, et le Tribunal fédéral était compétent. Le recourant n'avait il est vrai pas",Chronique judiciaire,1914-01-19
GDL-1914-01-19-Ar00507,"La Wengernalp. Le chemiu de fer de la Wengernalp a transporté l'année dernière 72, 828 voyageurs soit 4279 de plus qu'en 1912. Les recettes totales de la ligne se sont élevées à 937. 283 fr. Màrtigny-Châtelard. Durant l'exercice 1918 ( 1 er mai au 31 octobre ) les receltes totales du chemin do fer Martiguy-Chàtelard se sont élovées à 300, 283 fr. 90, eu augmentation de 7392 fr. 36 sur l'exercice 1912. Le tramway Martigny-Gare-Ville-Bourg a fait une recette totale de 15, 768 fr. 80 en 191 S, soit cinquante, centimes do moins qu'en 1912.",Chronique financière,1914-01-19
GDL-1914-01-20-Ar00305,"SPORTS D'HIVER A la I allée de Joux. On nous écrit du Pont, le 19: t Le Sporting-Club du Pont avait organisé pour le dimanche 18 janvier un coucours de skis, comprenant des courses civi es et militaires. On n'aurait pu souhaiter une piste meilleure. Les concurrents, partant de l'Hôti 1 de la Truite, devaient traverser le lac de Joux, puis grimper sur la Dent de Vaulion par Pétra- Félix; le retour s'effectuait par les Agouillons au point de départ Le parcours d'environ 10 km., très accidenté, présentait mainte difficulté. Voici les résultats: Course seniors ( 10 km. ) L Pilloud, E., Marchissy, 62 m. 2 s. H. Cuendet, S., Ballaigues, 57 m. 12 s. Course militaire ( 10 km. ) L Pilloud, E., Marchissy, 54 m. 56 s. H. Rochat, E.-L., Le Pont, 1 h. 6 m. Un public nombreux a suivi avec intérêt les différentes phases du concours. Malgré un lé ^ er brouillard, La Vallée était charmante, comme toujours, avec ses forêts givrées et ses sapins ployant sous la neige. Cet hiver le lac se cache sous la neige, mais les joyeuses parties de skis et de luges compensent largement le patinage, et l'on annonce pour dimanche prochain un concours de bobs et de luges. Avis aux amateurs de sport. R. M. » Concours de skis du Val de Ferret. Nous avons dit hier que la coupe challenge de la Compagnie du chemin de fer Martigny-Orsières avait été remportée définitivement par le Ski-Club Allalin, de Saas-Fée. Voici",Les sports,1914-01-20
JDG-1914-01-20-Ar00313,"BUREAU OENTRAL MÉTÉOROLOtIQUE Zurich, 19 janvier. Le baromètre a un peu remonté dans le nord ouest du continent et baissé dans le sud-ouest; la dépression du sud de la ligne j de faîte des Alpes persiste; il résulte de j cette distribution de la pression atmosphérique que les vents soufflent presque partout de l'est au nord des Alpes; la température s'est un peu relevée depuis hier dans I l'Europe centrale; la mer de brouillard enmètres; plus haut le ciel est parfaitement clair et la température relativement douce Temps probable: brumeux; assez froid à la neige dans le Jura. OBSERVATOIRE DE SENEVE Janvier | 13 | H | 15 | It 140 785 730 T » 710 715 710 705... „ - il î - s i r | - i i 1 1 ~ ' i i | 17 18 | 19 i Janv ~ 'W - 735 ~ 730: ™ ^ TÏO | - « 5 I 710 ^ 705 Température en degrés centigrades Janvier 14 15 7 u. matin -70 -63 - i h. toii -66 -50 - 9 h. soir -65 -35 - Minimum -83 -75 - MMtmua -62 -35 - LAC 35 33 16 17 18 1 « -6 t -52 -56 -44 -3. 8 ~* 4 -4!) -30 -48 -42 -40... -fi » -60 -63,.. 37 -38 -33 33 35.. 37 Direction, vitesse dn vent ( kilom. à l'heure ) Janvier 16 ï ' 7 h. matin KNE 5 SE i h. aolr NNE 10",Le temps qu'il fait,1914-01-20
GDL-1914-01-21-Ar00304,"BOURSE DE NEW-YORK New-York, 20 janvier. La tendance sur les fonds se montre très irrégulière. Au début, on est généralement ferme. La spéculation se montre hésitante, dans l'attente du message du président Wilson sur les truste. Par la suite, la cote devient plus ferme dans son ensemble. On remarque entre autres la fermeté des actions de la Compagnie des pétroles mexicains, sur les bruits de la déposition de Huerta. Par contre, les Canadian sont très faibles, Influencées par les nouvelles relatives à la maladie de lord Strathcona. Pendant l'après-midi, la tendance est encore plus irrégulière; de nouvelles liquidations influencent défavorablement l'ensemble; on remarque cependant la fermeté des Southern Pacific dès que l'on connaît en Bourse le texte du message du président Wilson. Ce message n'influence d'ailleurs pas beaucoup la spéculation; il ne contient rien de nouveau. En dernière heure, on assiste à un courant d'achats importants. On finit très ferme. Union foncière suisse. L'Union foncière suisse a décidé dans son assemblée du 20 janvier à Genève de répartir B 0 / o aux actionnaires pour l'exercice 1913 ( contre 0 0 / o pour 1912 ). L'assemblée a réélu pour une période do trois ans les administrateurs sortants: MM. Jules Racq, Robert Monneron et René de Gautard.",Chronique financière,1914-01-21
GDL-1914-01-22-Ar00304,"Changement il'ittearporatioÈ * « mi promotion Nous indiquons seulement la nouvelle incorporation. Infanterie. — Capit. R. de Diesbach, à Fribourg, off. ing. génie; capit. Victor Mégroz, à Lausanne, S. T.; l -lieut Maurice de Miéville, à Lausanne, E. M. ( off. ch. de fer ). Génie. — l -lieut. R. Weyermann, Yverdon, ( E. M. G., oiï. cb. de fer ). Troupes de forteresse. — Capit. Louis Mouthe, Orbe, S. T. Service de santé. — o ) médecins: ca pit Eug. Roud, à St-Légier, R. I. 37; capit. Fritz Ruch, La Tour-de-Pei'z, méd. comp. fus. H / 11; capit Hermann Bmnschweiler, à Lausanne, gi oupe art. comp. 23; capit. Charles Sandoz, Le Locle, bat. sap. 1; capit Alex. Cramer, à Genève, comm » comp. san. IV / 1; capit. Emile Jacot, à Sonvilier, bat fus. 14. b ) pharmaciens: capit. Alfred Bauler, à Neuchâtel, groupe san. 2, à ) Quartiers-maîtres capit. Henri de Léon, Le Mont, A D.; capit. Auguste Pasche. à Zurich, A. D. du canton de Vaud. Vétérinaires. — Capit. Albert Duvillard, à Genève, groupe art. comp. 1. Subsistances. — Capit. Louis MartiD, aux Verrières, A. D. Justice militaire. —Capit R. deWeck, à Fribourg, audit. Trib. territ. 2. Au 9 ri'ffhsietit. On lit dans le Vaterland, l'organe des conservateurs lucernois: « Certains cercles ont été fâcheusement impressionnés à la nouvelle de la nomination d'un officier protestant ( le lieutenantcolonel de Goumoëus ) à la tête « lu régiment fribourgeois... Dans le cas particulier, les so'dats de Fribourg n'auront",Chronique militaire,1914-01-22
GDL-1914-01-23-Ar00304,"dSOHTS D'HIVER ~ Concours de Bretaye. Le concours de ski qui devait avoir lieu le 11 janvier et qui avait été renvoyé vu le mauvais état de la neige, se disputera le dimanche 25 courant, avec le même programme. La neige est excellente et la piste superbe. On s'inscrit aux gares du B.-G.-V. à Bex, Gryon et Villars jusqu'à dimanche à 10 heures du matin. Le concours de Sainte-Croix. Nous rappelons que le Xme concoure annuel de Sainte-Croix aura lieu les samedi 24 et dimanche 25 janvier 1914. La neige se présente dans des circonstances exceptionnellement favorables. Une lutte serrée pour l'obtention du challenge offert par le chemin de fer Yverdon-Ste-Croix va se livrer entre les équipes de Bullet, Ste-Croix, Société de gymnastique et Ski-Club et La Chaux-de-Fonds. Le challenge est actuellement détenu par l'équipe de Bullet qui l'a déjà gagné deux fois. Une nouvelle piste de sauts a été établie dans un superbe décor de forêts de sapins, avec installation de tribunes pour les spectateurs. Nombreux seront sans doute les sportsnient qui monteront à Ste-Croix. AÉRONAUTIQUE La coupe Gordon-Bennett des sphêriques en 1914. L'Aéro-Club d'Amérique a décidé que le départ de la Coupe internationale des sphêriques de 1914 sera donné le 6 octobre prochain à Kansas-City. Un total de 36, 000 francs de prix est offert aux concurrents. Les engagements, valables seulement s'ils sont accompagnés d'un droit d'entrée de 500 francs, devront être adressés à l'Aéro-Club d'Amérique avant le 1 er mars. FOOTBALL La coupe des Charmettes. La date",Les sports,1914-01-23
JDG-1914-01-23-Ar00308,"Condamnations Le tribunal militaire de la 4 division, siégeant à Aarau, a condamné le fusilier Hans Widmer, de Gelfingen, à un moisd'emprisonnement pour avoir déclaré, s'étant vu infliger une peine d'arrêts, que dans ces conditions il renonçait au service militaire, et pour avoir refusé de reprendre sa baïonnette malgré les ordres de son supérieur. Le même tribunal a condamné à trois mois d'emprisonnement et à une année de privation de ses droits civiques le caporal Richard Widler, d'Aarau, du bataillon 57, pour ne s'être pas présenté aux cours de répétition de 1912 et 1913.",Chronique militaire,1914-01-23
GDL-1914-01-24-Ar00503,"Un homicide. Vendredi matin a comparu devant le tribunal criminel de Lausanne, siégeant avec jury, Pierre Barberis, cordonnier, qui, le 27 août dernier, entrait > au café Bovo, rue Martheray, vers 4 heures dé l'après-midi, pour prendre ûna consommation. Environ une heure plus tard, Dominique Spertini, maçon, se rendait dans le même établissement et bientôt liait conversation avec Barberis, qui consentit même à lui payer une chope de bière et vint s'asseoir à la même table. Aucune discussion violente n'éclata entre ces deux personnages. A un certain moment, Barberis se leva, fit quelques pas,, puis se rapprochant de Spertini, le frappa avec un tranchet de deux violents coups, lui causant ainsi deux graves blessures; l! un. e dans la région du thorax, près de la neuvième côte, l'autre à la partie antérieure et inférieure du cou. L'accusé sortit ensuite du café, non sans avoit jeté un coup d'oeil satisfait sur sa victime, qui s'était affaissée. Un témoin rejoignit de suite Barberis dans la rue et le livra à la police. Spertini ise releva, fit encore quelques pas et,,. perdant beaucoup de sang, dit: « Je meurs, je meurs »; puis s'assit à une table et put encore déclarer à un agent de police qu'il ne savait pas. pourquoi il avait, été frappé par cet. homme, qu'il ne connaissait pas et avec lequel il n'avait pas eu de querelle. Puis il perdit connaissance et expira bientôt...;...:., >,.,,, Barberis a cherché, au déb ^ 'à, excuser ses' actes en prêtant faussement à-Spertini",Chronique judiciaire,1914-01-24
